Book_Name,Author_Name,Book_URL,Edition_Type,Price,Star_Rating,Reviews
Story Book- 101 Panchatantra Stories ( Ilustrated stories for children from Ancient India),Om Books Editorial Team,https://amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=zg_bs_g_4149493031_sccl_23/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"8,489"
WINGS OF FIRE: AUTOBIOGRAPHY OF ABDUL KALAM,Missing,https://amazon.in/WINGS-FIRE-AUTOBIOGRAPHY-ABDUL-KALAM/dp/8173711461/ref=zg_bs_g_4149493031_sccl_24/000-0000000-0000000?psc=1,Hardcover,Missing,4.6 out of 5 stars,Arun Tiwari
HereThere and Everywhere : Best-Loved,Missing,https://amazon.in/Here-There-Everywhere-Best-Loved-Stories/dp/0143444344/ref=zg_bs_g_4149493031_sccl_25/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,Murty Sudha
Relativity:The Special and the General Theory,Albert Einstein,https://amazon.in/Relativity-Special-General-Albert-Einstein/dp/8175994657/ref=zg_bs_g_4149493031_sccl_26/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"4,487"
Why I am an Atheist and Other Works,Bhagat Singh,https://amazon.in/Atheist-Other-Works-Bhagat-Singh/dp/9387022811/ref=zg_bs_g_4149493031_sccl_27/000-0000000-0000000?psc=1,Paperback,Missing,4.6 out of 5 stars,"6,463"
Make You Bed,Admiral William H. McRaven,https://amazon.in/Make-Your-Bed-William-McRaven/dp/0718188861/ref=zg_bs_g_4149493031_sccl_28/000-0000000-0000000?psc=1,Hardcover,Missing,4.5 out of 5 stars,"20,006"
The Politics,Aristotle,https://amazon.in/Politics-Aristotle/dp/9389931266/ref=zg_bs_g_4149493031_sccl_29/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"1,945"
Sapiens,Missing,https://amazon.in/Sapiens/dp/B079C1B3H6/ref=zg_bs_g_4149493031_sccl_30/000-0000000-0000000?psc=1,Audible Audiobook,Missing,4.7 out of 5 stars,Yuval Noah Harari
Meditations,Marcus Aurelius,https://amazon.in/Meditations-Penguin-Classics-Marcus-Aurelius/dp/0140449337/ref=zg_bs_g_4149493031_sccl_1/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,"6,008"
My Inventions Autobiography of Nikola Tesla,Nikola Tesla,https://amazon.in/My-Inventions-Autobiography-Nikola-Tesla/dp/9354401473/ref=zg_bs_g_4149493031_sccl_2/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"4,832"
Indias Struggle for Independence: 1857-1947 [Paperback] Bipan Chandra,Bipan Chandra,https://amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819/ref=zg_bs_g_4149493031_sccl_3/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,"8,396"
Introducing Buddha: A Graphic Guide (Graphic Guides),Borin Van Loon,https://amazon.in/Introducing-Buddha-Graphic-Guide-ebook/dp/B00KFEJNY0/ref=zg_bs_g_4149493031_sccl_4/000-0000000-0000000?psc=1,Kindle Edition,Missing,4.0 out of 5 stars,356
Doglapan: The Hard Truth about Life and Start-Ups,Ashneer Grover,https://amazon.in/Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X/ref=zg_bs_g_4149493031_sccl_5/000-0000000-0000000?psc=1,Hardcover,Missing,4.3 out of 5 stars,"2,837"
Autobiography of A Yogi (Hardcover),Paramahansa Yogananda,https://amazon.in/Autobiography-Yogi-Complete-Paramahansa-Yogananda/dp/8190256203/ref=zg_bs_g_4149493031_sccl_6/000-0000000-0000000?psc=1,Hardcover,Missing,4.6 out of 5 stars,"9,499"
Psychopathology of Everyday Life,Sigmund Freud,https://amazon.in/Psychopathology-Everyday-Life-Sigmund-Freud/dp/9354402208/ref=zg_bs_g_4149493031_sccl_7/000-0000000-0000000?psc=1,Paperback,Missing,4.2 out of 5 stars,845
World's Greatest Leaders,Wonder House Books,https://amazon.in/Worlds-Greatest-Leaders-Inspirational-Personalities/dp/9388369041/ref=zg_bs_g_4149493031_sccl_8/000-0000000-0000000?psc=1,Paperback,Missing,4.3 out of 5 stars,"3,041"
The Art of War (Deluxe Edition),Missing,https://amazon.in/Art-War-Deluxe-Sun-Tzu/dp/9388369696/ref=zg_bs_g_4149493031_sccl_9/000-0000000-0000000?psc=1,Hardcover,Missing,4.4 out of 5 stars,Sun Tzu
Revolutionaries : The Other Story of How India Won Its Freedom,Sanjeev Sanyal,https://amazon.in/Revolutionaries-Other-Story-India-Freedom/dp/9356295948/ref=zg_bs_g_4149493031_sccl_10/000-0000000-0000000?psc=1,Hardcover,Missing,4.8 out of 5 stars,589
Knowledge Encyclopedia Space,Wonder House Books,https://amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/935440443X/ref=zg_bs_g_4149493031_sccl_11/000-0000000-0000000?psc=1,Hardcover,Missing,4.3 out of 5 stars,65
"STEVE JOBS (PB): THE EXCLUSIVE BIOGRAPHY [Paperback] Isaacson, Walter",Walter Isaacson,https://amazon.in/STEVE-JOBS-EXCLUSIVE-BIOGRAPHY-Paperback/dp/034914043X/ref=zg_bs_g_4149493031_sccl_12/000-0000000-0000000?psc=1,Paperback,Missing,4.7 out of 5 stars,"20,803"
Start With Why : The Inspiring Million-Copy Bestseller That Will Help You Find Your Purpose,Missing,https://amazon.in/Start-Why-Leaders-Inspire-Everyone/dp/0241958229/ref=zg_bs_g_4149493031_sccl_13/000-0000000-0000000?psc=1,Paperback,Missing,4.5 out of 5 stars,SINEK SIMON
The Story Of My Experiments With Truth Mahatma Gandhi An Autobiography Hindi,Missing,https://amazon.in/Story-Experiments-Mahatma-Gandhi-Autobiography/dp/9390183502/ref=zg_bs_g_4149493031_sccl_14/000-0000000-0000000?psc=1,Paperback,Missing,4.4 out of 5 stars,Mahatma Gandhi
